# Ometz Dental beautification TODO — 2026-07-06
# Auto-generated by Erebus (design-bot)
# Source: /root/paragu-ai-platform/apps/dra-gabriela/client-context/audits/2026-07-06_ometzdental-full-audit.md
#
# Format: priority | id | severity | owner | file_pattern | title | depends_on
# Separator: tab (\t)
# Comment lines start with #

# ============================================================================
# PHASE 1 — CRITICAL (must fix before next deploy)
# ============================================================================

1.8	LOW	Luana	components/sections/Testimonials.tsx	Confirm star icons fill-gold text-gold are intentional	[]
2.2	LOW	AI	app/globals.css	Test skip-to-content visibility (focused vs always-hidden)	[]
2.5	LOW	AI	components/CookieConsent.tsx	Audit keyboard accessibility	[]
2.6	LOW	AI	components/Navbar.tsx	Verify language switcher in mobile drawer	[]
3.5	LOW	AI	components/ThemeSwitcher.tsx + components/CookieConsent.tsx	Check z-index stack	[3.2]
3.6	LOW	AI	components/sections/Hero.tsx	Hero portrait on mobile (show or hide)	[]
3.7	LOW	AI	components/Navbar.tsx	Mobile drawer includes language switcher	[2.6]
3.8	LOW	AI	components/Footer.tsx	Footer hierarchy review (brand → sections → contact → legal → social)	[]
3.9	LOW	AI	components/BackToTop.tsx	Scroll threshold + accessible label	[]
3.10	LOW	AI	components/ScrollReveal.tsx	Respect reduced-motion, no CLS	[2.4]
3.11	LOW	AI	components/Blob.tsx	Verify aria-hidden="true"	[]
4.2	LOW	AI	app/sitemap.ts	Regenerate sitemap after stub-page cleanup	[1.4]
4.3	LOW	AI	app/robots.ts	Audit robots.txt	[1.4]
4.4	LOW	AI	app/[locale]/themes/page.tsx	/themes should NOT have unique OG image	[]
4.5	LOW	AI	lib/seo.ts	Verify keywords have matching landing pages	[]
5.2	LOW	AI	app/layout.tsx	Lazy-load Caveat font	[]
5.3	LOW	AI	public/sw.js	Verify cache strategy doesn't break deploys	[]
5.4	LOW	AI	components/ServiceDetail.tsx (18.9KB)	Split into 4 components	[]
5.5	LOW	AI	app/[locale]/blog/page.tsx + components/sections/BlogPreview.tsx	Dynamic import blog post bodies	[]
6.1	LOW	AI	—	Same as 1.4	[1.4]
6.2	LOW	AI	—	Same as 1.6	[1.6]
6.3	LOW	AI	lib/{content,brand,seo}.ts	Audit responsibilities	[]
6.4	LOW	AI	components/README.md	Update or remove	[]
6.5	LOW	AI	app/{actions,newsletter-action}.ts	Consolidate or document split	[]
6.6	LOW	AI	public/images/	PNG→WebP conversion for unused PNGs	[]
7.2	LOW	AI	components/**/*.tsx	grep "text-gold " — should be 0 on body text	[]
7.4	LOW	Luana	components/sections/{Hero,BilingualBand}.tsx	BilingualBand vs H1 visual weight	[]
7.5	LOW	Luana	components/sections/Hero.tsx	aa-controls pills mobile sizing	[]
7.6	LOW	AI	components/sections/VoiceDoctor.tsx	Is it actual audio or styled text	[]
7.7	LOW	Luana	components/sections/AnxietyPersonas.tsx	3 personas feel distinct	[]
7.8	LOW	AI	components/sections/{AnxietyPersonas,SedationSection}.tsx + components/ServiceFaq.tsx	Anxiety→Sedation→FAQ cross-link	[]
7.9	LOW	AI	components/sections/{Reasons,WhyDifferent}.tsx	Overlap check	[]
7.10	LOW	AI	content/{en,es}/stats.json	Verify all stats are true numbers	[]

# ============================================================================
# PHASE 4 — LOW / ONGOING
# ============================================================================

8.2	LOW	AI	apps/dra-gabriela/deploy.sh	Verify location (app dir, not repo root)	[]
8.3	LOW	AI	docs/trabajos/2026-07-06_<designer>_beautification-pass.md	Create beautification pass work log	[]
8.4	LOW	AI	~/.hermes/cron/jobs.json	Verify weekly-design-audit cron actually runs	[]

# ============================================================================
# PHASE 5 — LUANA FINAL VALIDATION (after AI ships)
# ============================================================================

5.L1	—	Luana	ometzdental.com (live)	Look at live site — anything missing	[1.1,1.2,1.4,4.1]
5.L2	—	Luana	—	Confirm gold-on-functional is gone	[2.1]
5.L3	—	Luana	lib/seo.ts	Approve JSON-LD / canonical URL changes	[1.1,1.2,4.1]
5.L4	—	Luana	—	Final sign-off — no more additional work	[5.L1,5.L2,5.L3]
